,word,freq,sentiment,Genre,Category
970,team,11,,,
971,thinking,11,,,
972,total,11,,,
973,uses,11,,,
974,virtually,11,,,
975,wants,11,,,
976,wonderfully,11,,,
977,young,11,,,
978,youve,11,,,
979,addition,10,,,
980,alone,10,,,
981,attempt,10,,,
982,backstory,10,,,
983,based,10,,,
984,brief,10,,,
985,cause,10,,,
986,chaos,10,,,
987,choreographed,10,,,
988,coming,10,,,
989,como,10,,,
990,constant,10,,,
991,crafted,10,,,
992,decided,10,,,
993,describe,10,,,
994,drama,10,,,
995,elements,10,,,
996,form,10,,,
997,front,10,,,
998,furiosas,10,,,
999,gasoline,10,,,
1000,hate,10,,,
1001,holding,10,,,
1002,kept,10,,,
1003,knew,10,,,
1004,massive,10,,,
1005,mess,10,,,
1006,missed,10,,,
1007,named,10,,,
1008,physical,10,,,
1009,plenty,10,,,
1010,positive,10,,,
1011,race,10,,,
1012,realize,10,,,
1013,remake,10,,,
1014,running,10,,,
1015,sometimes,10,,,
1016,soon,10,,,
1017,stands,10,,,
1018,starts,10,,,
1019,surprise,10,,,
1020,talking,10,,,
1021,theaters,10,,,
1022,titular,10,,,
1023,trailer,10,,,
1024,witness,10,,,
1025,wrong,10,,,
